domain|loads|ground|type-voice|signature-move|motion-guess|verdict
gsap.com|y|dark|mixed|display glyphs swap into icons mid-word (Aaim*te an-yh!)|kinetic-type|ORIGINAL
guglieri.com|y|dark|grotesk-caps|oversized 3D cursor sculptures as product gallery slider|3d|solid
guillaumeazadian.com|n|||||
guruduttperi.com|y|dark|mixed|drag-to-explore masonry wall of 82 music releases with player dock|canvas|ORIGINAL
halfpastnine.io|y|dark|grotesk-caps|navy field + platform icon row under big claim headline|none-visible|template
halo-lab.com|y|dark|grotesk-caps|illustrated starry night sky behind agency claim + team cards|canvas|solid
halodhimas.com|n|light||dead Vercel deployment (404)||
hardikbhansali.com|y|dark|quiet|single outlined sentence on black; rest scroll-gated|kinetic-type|solid
haydenbleasel.com|y|light|quiet|life rendered as an age/years timeline down the homepage|none-visible|solid
heckhouse.com|y|light|quiet|near-empty white page with tiny red hand-drawn glyphs|none-visible|solid
height.app|n|||||
helenedelmarmol.com|y|light|mono|homepage is a tiny mono project index, images on hover|none-visible|solid
hellomatik.com|n|||||
herocollective.co|y|dark|quiet|full-bleed smoke video, no visible type on load|canvas|solid
heurebleue.studio|y|color|giant-serif|flat cobalt field owned by one massive serif logotype|none-visible|solid
hex.tech|y|light|grotesk-caps|graph-paper grid ground under SaaS hero|none-visible|template
heydaystudio.fr|y|color|mixed|acid-lime field, hand-drawn flower spliced into wordmark|none-visible|solid
heyorbi.com|y|dark|grotesk-caps|rainbow gradient corner + centered claim + email capture + product mock|none-visible|template
heyvalentin.club|y|dark|mixed|hero sentence built from colored sticker-tags with arrow glyphs|kinetic-type|ORIGINAL
houseofyellow.nl|y|light|quiet|hero blank in headless (loader/WebGL)|canvas|solid
hugeinc.com|y|dark|mixed|giant inflated puffer-fabric 3D letter H as the entire hero|3d|ORIGINAL
huncwot.com|y|color|grotesk-caps|flat red field, lone lowercase wordmark top-left|none-visible|solid
huyml.co|y|dark|quiet|hero blank in headless (loader/WebGL)|canvas|solid
