domain|loads|ground|type-voice|signature-move|motion-guess|verdict
studioherrstrom.com|y|dark|quiet|full-bleed video hero paints black headless; unjudged|none-visible|solid
studiokleiner.com|n|||||
studiosentempo.com|y|dark|grotesk-caps|full-bleed video reel wall (Neue Montreal 192px); unrendered headless|none-visible|solid
subdivision.work|y|dark|quiet|black void landing, no visible type|none-visible|solid
sun-rise.com|n|||||
sunhung.net|y|color|grotesk-caps|colossal 368px condensed black caps slabs across hot-magenta field|3d|ORIGINAL
supercommon.systems|y|dark|quiet|hairline-weight type + hardware mockup + one-price buy button|none-visible|solid
superkeen.studio|y|light|quiet|editorial object catalog with NYC clock in nav|none-visible|solid
supersolid.agency|y|dark|grotesk-caps|film-grain intro veil over everything|grain|solid
t-ko.space|y|dark|quiet|parked-domain placeholder|none-visible|template
t72t.com|y|dark|mono|micro mono-caps nav with inventory counts (TYPEFACES—14), empty stage|none-visible|solid
teardwn.com|y|color|mixed|hand-painted acrylic collage + Chuck Norris cutouts + typewriter body|canvas|ORIGINAL
tenyears.source.paris|y|dark|quiet|black first paint, Times fallback; unjudged|none-visible|solid
terminal-industries.com|y|light|grotesk|rounded yard-path circuit linework as loading motif|none-visible|solid
terradactyl.xyz|y|dark|quiet|black first paint over 6-video stack|none-visible|solid
thatedchao.com|y|light|quiet|a name and three links, nothing else|none-visible|solid
thelinestudio.com|y|color|quiet|flat vermilion loading curtain|none-visible|solid
thenetworkstate.company|y|light|giant-serif|italic display serif over ocean film + citizenship price cards|kinetic-type|solid
theretothere.co.nz|y|color|grotesk|chroma-key green screen with wordmark words pinned to corners|kinetic-type|ORIGINAL
therobot.tv|y|dark|mono|spaced-mono 00% preloader counter top-right|kinetic-type|solid
thesandstudio.com|y|dark|quiet|black first paint; unjudged|none-visible|solid
thesmallsquare.com|y|dark|quiet|flat navy first paint|none-visible|solid
thevariable.com|y|color|quiet|flat periwinkle loading curtain|none-visible|solid
thibaud.film|y|dark|quiet|black first paint (LayGrotesk 168px behind)|none-visible|solid
thingyandthingy.com|y|dark|grotesk-caps|profane lime manifesto caps + Victorian small-caps serif aside + QUICK NAV pills|none-visible|ORIGINAL
thisiswahba.com|n|||||
thomasmonavon.com|y|light|mono|tiny 08% counter as entire first paint|canvas|solid
threezerofive.studio|y|light|grotesk|street-address-as-hero text index + tiny analog clock|none-visible|solid
tiagofragoso.com|y|light|mixed|hand-drawn marker nav [ABOUT][WORK] + sketched frame around film reel|none-visible|ORIGINAL
tiempo.fitness|y|dark|giant-serif|cream serif promise + gradient-green logo lockup|none-visible|solid
tiffanydevos.com|n|||||
tiger.exposed|y|light|quiet|spreadsheet-as-portfolio: four dotted-rule text columns, zero images|none-visible|ORIGINAL
tillmannfranzen.com|y|light|quiet|lone outlined square as loader|none-visible|solid
timedrift.live|y|dark|quiet|black first paint; unjudged|none-visible|solid
timestwo.design|y|dark|quiet|black first paint; unjudged|none-visible|solid
timetorefokus.com|y|dark|grotesk-caps|Satoshi 122px caps kinetic intro (unrendered)|kinetic-type|solid
tinycomputer.co|y|light|giant-serif|big dark serif aphorism + mono subline + blinking block cursor|none-visible|solid
tome.app|n|||||
tomoro-sugawara.studio.site|y|light|quiet|blank first paint (site builder)|none-visible|solid
tparkes.com|y|light|grotesk|gray running headline with black inline pictograms swapped into it|none-visible|solid
tr.af|n|||||
trigger.dev|y|dark|grotesk|terminal-log wall as hero backdrop + lime CTA + category chip rail|none-visible|solid
trionn.com|n|||||
tux.co|y|dark|quiet|full-bleed film still + chrome-3D Adweek news toast|3d|solid
twicetwice.tv|y|dark|mono|masonry video wall + vertical mono rail nav|none-visible|solid
twingate.com|y|dark|grotesk|"Pick Three." yellow payoff line + mono zero-trust diagram card|none-visible|solid
twomuch.studio|y|light|quiet|floating chartreuse pill toolbar with googly eyes|none-visible|solid
typohypergraphicobject.page|y|light|quiet|blank first paint|none-visible|solid
ulvin.xyz|y|light|mono|Figma-canvas cosplay: selection handles, rotated stickies, cursors|kinetic-type|solid
ulyssesdesanti.com|y|light|quiet|blank first paint|none-visible|solid
umbrel.com|y|dark|quiet|Apple-grammar hardware marketing, walnut server render|3d|solid
una.im|y|color|mixed|khaki+cream, wide-tracked serif caps + mono + marble arch photo + wavy divider|none-visible|solid
uncut.wtf|y|light|grotesk-caps|monster flipped/reversed logotype crushing the fold + category count ledger|none-visible|ORIGINAL
unicorn.studio|y|dark|grotesk|centered hero, shader canvas unrendered headless|canvas|solid
unoxunoagencia.com|y|light|quiet|blank first paint|none-visible|solid
unveil.fr|y|light|quiet|blank first paint|none-visible|solid
usedaybox.com|y|dark|quiet|Apple-paragraph manifesto hero + phone mock|none-visible|solid
usedropshot.com|y|dark|grotesk|dark SaaS: two-tone headline + product window|none-visible|solid
usetool.bar|y|dark|grotesk|"Make your AI Slop stable." with olive highlighter swipe|none-visible|solid
utsubo.com|y|dark|quiet|3D artifact in golden ring as 1% preloader|3d|solid
v7labs.com|y|dark|giant-serif|Martina Plantijn serif on black + particle light beam + logo strip|canvas|solid
valentincheval.design|n|||||
vanderlanth.io|y|light|giant-serif|ghost-light italic serif project index + emoji-prefixed nav + Yummy cookie|none-visible|solid
vanschneider.com|y|dark|mixed|cathedral-arc hairline field + three serif-labeled index columns (REPERTOIRE/CREATIVITE/NARRATIVE)|none-visible|ORIGINAL
vercel.com/font|y|light|grotesk|giant "Geist." on exposed baseline grid + pill specimen toggle|none-visible|solid
verse.sh|y|dark|mono|all-mono ledger portfolio, bracketed links, 3D skull project card|3d|solid
viens-la.com|n|||||
visualjournal.it|y|light|quiet|two-column labeled gallery grid (images lazy)|none-visible|solid
vivienscreative.com.au|y|light|quiet|blank first paint|none-visible|solid
voidzero.dev|y|light|grotesk|isometric layered-cube diagram with mono flag labels + violet accent words|none-visible|solid
wam.studio|y|light|grotesk|image grid arranged as giant letterforms (loading)|none-visible|solid
wantedfornothing.com|n|||||
warp.dev|y|light|grotesk|grotesk hero + mono CTAs + logo ticker rail on photo-blur window stack|none-visible|solid
watson.la|y|light|quiet|single "0" preloader top-left|none-visible|solid
wearebulletproof.com|y|dark|grotesk-caps|wordmark split BULLET / PROOF around tiny 3D monument render|3d|solid
wearecheck.co|y|dark|grotesk-caps|250px MangoGrotesque caps kinetic intro (unrendered)|kinetic-type|solid
wearedirect.co|y|color|quiet|flat warm-yellow loading curtain|none-visible|solid
weareexample.com|y|light|grotesk-caps|American Grotesk Compressed 207px caps + WebGL (unrendered)|3d|solid
wearegradient.net|n|||||
wearestokt.com|n|||||
weeksync.app|y|light|mono|coupon metaphor: dotted cut-out borders, scissors on the fold line, rotated dotted cookie corner|none-visible|ORIGINAL
wodniack.dev|y|color|mixed|crimson field in a black hairline ledger frame: barcode logo, QR, mono caps + text serif status cells|kinetic-type|ORIGINAL
wonderlandams.com|y|dark|quiet|numbered spaced-caps serif index nav + orange "% READY TO USE" load readout|none-visible|solid
wope.com|y|dark|grotesk|violet glow horizon + keyword-table product UI|none-visible|solid
wwake.com|y|light|quiet|hairline monogram jewelry e-comm, near-empty stage|none-visible|solid
xk.studio|y|dark|mono|black stage, mono XK/WORK/INFO only|none-visible|solid
yannglt.com|y|dark|mixed|blackletter glyph tiles + drafting-table hairline frames w/ hatching + slab-serif headline + amber CTA|none-visible|ORIGINAL
yellowfellow.tv|y|color|quiet|lemon-cream world: yellow serif caps nav + lemon-slice loader|none-visible|solid
yinger.dev|y|dark|quiet|six-block progress meter loader|none-visible|solid
ylliramadani.com|y|color|mono|marigold field, mono status caps + 94%/100 counter + colossal grotesk ticker bleeding off-canvas|kinetic-type|ORIGINAL
yourcreative.com.au|y|light|mixed|full-width swash-mixed logotype + bottom pill nav + holographic impact-report card|none-visible|solid
yourmajesty.co|y|light|giant-serif|hairline IvyPresto statement + tag-chipped offset media cards + black pill MENU-CONTACT dock|3d|ORIGINAL
zbs.capital|y|dark|grotesk|teal-glow crypto VC boilerplate|none-visible|template
zed.dev|y|light|mixed|blueprint dashed-grid page frame + italic serif display + true-content editor UI|none-visible|ORIGINAL
zentry.com|y|dark|grotesk-caps|ZentryScreamer 180px caps WebGL world (unrendered)|3d|solid
