domain | loads | ground | type-voice | signature-move | motion-guess | verdict
099.supply | y | light | mono | numbered monochrome 3D mockup objects in a strict shop grid | 3d | solid
108.supply | y | dark | giant-serif | italic serif display headline over dark template-market grid | none-visible | solid
109ichiki.com | y | light | quiet | anime illustration in one framed panel on a warped hand-drawn grid | canvas | solid
13g.fr | y | dark | quiet | two-tone logomark preloader on near-black (canvas site behind) | canvas | solid
14islands.com | y | light | grotesk-caps | "Design & Technology" set as a two-step staircase with a gray ampersand | kinetic-type | solid
1820productions.com | y | dark | grotesk-caps | full-bleed reel with condensed caps client title and 02/03 pager | none-visible | solid
abdussalam.pk | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
abhishekjha.me | y | color | mixed | grain-paper card over sky photo; giant ellipse cutout with metallic lilies rising through; caps+script collide | grain | ORIGINAL
accordion.net.au | y | dark | quiet | showreel fanned into a curved 3D arc of video slats | 3d | solid
activetheory.net | y | dark | quiet | blank at capture (full-WebGL site) | canvas | solid
adrienlamy.fr | y | color | quiet | red comic playground: hand-drawn self-portrait with DRAG/GRAB/PULL doodle instructions | canvas | solid
age-hh.com | y | light | quiet | anti-design shop in raw default Times with underlined links | none-visible | solid
aim.obys.agency | y | light | grotesk-caps | constructivist AIM letterforms cropped into geometric blocks; museum-catalog index rows | kinetic-type | ORIGINAL
aimpie.design | y | dark | quiet | spinner at capture | none-visible | template
airborne.studio | y | dark | grotesk-caps | cream BRAND YOURSELF INEVITABLE stack + smiley lets-work badge | kinetic-type | solid
akaru.fr | y | light | grotesk-caps | split poster: ultra-condensed heavy wordmark left, numbered color-block photo mosaic right, colored-dot nav | kinetic-type | solid
alche.studio | y | dark | mono | drafting-table hairline construction lines + one whispered mono sentence | canvas | ORIGINAL
alectear.com | y | color | mono | cobalt field with two giant lozenge buttons: design / lettering | none-visible | solid
alejandromejias.com.au | y | light | mono | spec-sheet portfolio: bracketed metadata, dot grid, acid-yellow local-time chip | kinetic-type | solid
aleksitappura.com | y | dark | quiet | green/violet aurora corners behind plain bio text | none-visible | template
alexandratellez.com | y | light | quiet | near-empty stage; header/footer captions frame a slow slideshow | none-visible | solid
alexzarour.com | y | light | quiet | full-bleed interiors with IMG 02 archive captions and a cobalt name tag | none-visible | solid
algo.tv | y | dark | mixed | nav items alternate serif/sans per item over full-bleed video | kinetic-type | solid
alinapapazova.framer.ai | y | color | grotesk-caps | magenta chunky ALINA with 3D bunny-girl avatar breaking through the wordmark | 3d | solid
alternativeaesthetics.co.uk | y | light | quiet | identity drawn entirely by hand: STAY STRANGE brush lettering, doodle mascot, pencil logo | none-visible | solid
alxmurashko.com | y | dark | quiet | plain left-set bio, nothing else | none-visible | template
anaiis.world | y | dark | quiet | full-bleed art film with tiny script logo and bare player chrome | none-visible | solid
and2es.com | y | light | quiet | blank at capture | canvas | solid
andagain.uk | y | dark | grotesk-caps | viewport-cropped AndAgain wordmark; three-column agency/contact/local-time line | kinetic-type | solid
ander.agency | y | dark | mixed | serif caps staggered around an extruded 3D letter A; rubber-stamp rotating badges | 3d | solid
andmade.jp | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
andrewtrousdale.com | y | light | mono | portfolio as an interactive knowledge graph: numbered hexagon nodes wired to themes, index card at right | canvas | ORIGINAL
angelaricciardi.com | y | light | quiet | one centered line: Projects, Information, Archive | none-visible | solid
animated-abstract.wannathis.one | y | dark | grotesk-caps | glass 3D shapes full-bleed with G3DAAS cropped by the bottom edge | 3d | solid
animejs.com | y | dark | quiet | neon circular oscilloscope dial as product hero | canvas | solid
animusstudios.com | y | dark | mixed | Find/Your/Fascinating staggered around a video slab; serif italics swap into the grotesk | kinetic-type | solid
anorakfilm.com | y | light | quiet | nav as a spreadsheet row with cell dividers, name in the center cell | none-visible | solid
antinomy.studio | y | light | quiet | rounded pill nav over a gray video slab | none-visible | template
antimetal.com | y | light | giant-serif | quiet-luxury AI: editorial serif claim + dandelion-burst data viz + dashed-border buttons | canvas | solid
antonsten.com | y | light | quiet | warm off-white consultant minimalism, centered column | none-visible | template
anygivenmoment.co | y | light | mono | ENTER SITE gate; mono wordmark offset right of center | none-visible | solid
apc-pallets.nl | y | light | quiet | drone photo of the pallet yard as hero; elegant type over industry | none-visible | solid
arcade.la | y | dark | mono | bitmap/pixel display face + arrow-glyph spec lists + AVAILABLE 2027 | none-visible | ORIGINAL
archiveforspace.com | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
arocksworld.com | y | dark | quiet | blank at capture | canvas | solid
arrowdynamics.dev | y | dark | mixed | site as a hardware synthesizer: grain device panel, knobs, speaker grille, gauge card, serif italic product name | 3d | ORIGINAL
artem.vyraz.studio | y | light | quiet | name split to page corners; hand-drawn avatar; slider/grid control strip in footer | none-visible | solid
artpill.studio | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
ashfall.studio | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
athleticsnyc.com | y | dark | quiet | blank at capture (video) | none-visible | solid
atio.studio | y | dark | grotesk-caps | wordmark crops at viewport edges; page self-documents "Background-color Black 000000"; giant LOADING | kinetic-type | ORIGINAL
austinknight.com | y | light | giant-serif | gray-on-gray physics scene: pill cursor + faint serif words | canvas | solid
authkit.com | y | dark | quiet | gradient wordmark under a spotlight; login-box product theater | none-visible | solid
avara.xyz | n | - | - | cloudflare bot gate | - | -
axelvanhessche.com | y | light | quiet | blank at capture | canvas | solid
ballet-de-marseille.com | y | light | grotesk-caps | the menu IS the homepage: stacked display nav fills the left half; dashed archive panels right; mono annotations | kinetic-type | ORIGINAL
basement.studio | y | dark | mono | HUMAN|MACHINE mode toggle; nav counts (26)(29); canvas hero | canvas | solid
bauhausclock.com | y | light | quiet | Apple-grade product page for a $19 clock app | none-visible | solid
becaneparis.com | y | light | mono | lookbook lineup: cut-out standing figures in a row; boxed UI corners; ALL 27 / STORIES 04 counters | none-visible | solid
bemo.studio | y | dark | quiet | cinematic CG whale overgrown with coral; cream headline; location/time strip | 3d | solid
benjaminhoppe.co | y | dark | giant-serif | portfolio as a tilted paper letter: typewritten, dated, signed, work "available upon request" | grain | ORIGINAL
bennettandclive.com | y | light | grotesk-caps | wordmark set full-bleed edge to edge as the entire hero | none-visible | solid
benvenusa.com | y | color | mixed | violet slab between white bands; giant grotesk wordmark over serif-caps wine-region lists | none-visible | solid
betterstack.com | y | dark | quiet | dark SaaS hero + product screenshot + logo strip | none-visible | template
billysweeney.com | y | light | grotesk-caps | audience-switcher bio: For anyone / Recruiters / Design Directors ... tabs rewrite the intro | none-visible | ORIGINAL
bindery.co | y | light | giant-serif | video thumbnails orbit a bold center wordmark on chartreuse-adjacent gray | none-visible | solid
blitzit.app | y | dark | quiet | gradient keyword + pill CTAs; to-do SaaS | none-visible | template
blocks.shawnlukas.com | y | dark | mono | monochrome museum: annotated 808 schematic, EQ curves, quantity type studies, dark/light cards | none-visible | ORIGINAL
blok.so | y | light | quiet | pinboard of real polaroids of the community holding the product | none-visible | solid
bonsai.fyi | n | - | - | dns failure | - | -
bpco.kr | y | dark | mono | LOADING bar + all-caps agency statement pinned to the footer | kinetic-type | solid
brandappart.com | y | light | grotesk-caps | cream ground, giant rounded grotesk, side icon rail, Paris local time | none-visible | solid
brandingthatslaps.com | y | dark | grotesk-caps | video-thumbnail cloud scattered in z-space around SLAPS. + bracket mono UI + city clocks | 3d | ORIGINAL
brikken.co | y | light | quiet | pale column grid; content behind cookie gate at capture | none-visible | solid
brilliant.xyz | y | light | quiet | RGB-split glitch wordmark over macro product video | none-visible | solid
bruno-simon.com | n | - | - | timeout (known WebGL drive-a-car portfolio) | - | -
bruut.media | y | light | grotesk-caps | video hero; pill nav; a mini pill button textured with live video (REEL); broken-grid logo blocks | none-visible | solid
buena.com | y | light | quiet | warm editorial photography with a handwritten signature overlaid on the hero | none-visible | solid
buffet.digital | y | light | quiet | butter-yellow still-life photo of glassware as the whole hero, logo overlaid | none-visible | solid
burocratik.com | y | dark | quiet | project showcase: floating fintech UI cards on perforated metal | none-visible | solid
buttermax.net | y | color | grotesk-caps | butter-yellow flood; "Buttery" wordmark swallowed by a transparent gameboy with visible circuitry | 3d | solid
buzzusborne.com | y | light | quiet | hand-signature logo, sparse white | none-visible | solid
bychudy.com | y | light | grotesk-caps | portfolio as a constellation word-map: project names scattered across the page, thumbnails surfacing among them | kinetic-type | ORIGINAL
bymonolog.com | y | dark | grotesk-caps | film-grain ground; tiny wire globe + statement; massive wordmark cropped by the bottom edge | grain | solid
bynikistudio.com | y | dark | grotesk-caps | grain-noise stage; team as boxed minifig collectible cards with /003 index labels | grain | solid
cacabarabas.com | y | light | mono | archive index: mono project list as left rail, masonry of work at right | none-visible | solid
caffe.design | y | color | quiet | bubblegum pink; walking eyeball-cup mascot promises "I will be your guide, listen to me!" | canvas | solid
capetowndamlevels.co.za | y | dark | mixed | civic data as editorial design: giant serif 76%, a written headline about the rain, inverted-triangle dam chart with DAY ZERO line | none-visible | ORIGINAL
cappen.com | y | light | quiet | tiny center video cube; HUMAN THINKERS / DIGITAL MAKERS pushed to the far edges | canvas | solid
capsule.video | y | dark | quiet | dark SaaS, lime accents, banner bar | none-visible | template
cedric.design | y | dark | quiet | personal hub of product cards + newsletter box | none-visible | template
chain-labs.design | n | - | - | parked domain (for sale) | - | -
charge.cars | y | dark | quiet | cinematic video: electric mustang under a light blade | none-visible | solid
chipsa.design | y | light | quiet | blank at capture (headless-canvas limitation) | canvas | solid
clarissemichard.com | y | light | mixed | monogram loader where every letter is a different typeface: blackletter C, script l, pixel a | kinetic-type | solid
clayboan.com | y | dark | giant-serif | giant blackletter CLAY laid over a 3D black clay doberman bust | 3d | solid
clementgrellier.fr | y | light | grotesk-caps | full-width name cropped by the top edge; offset project card; macOS-dock pill nav bottom center | none-visible | solid
