domain | loads | ground | type-voice | signature-move | motion-guess | verdict
cncpt.ca | n | - | - | Vercel 404 deployment-not-found | - | -
collection.industries | y | light | giant-serif | engraved heraldic crest + giant gradient-faded serif display cropped at the fold, small-caps engraver nav | none-visible | solid
companypolicy.studio | y | dark | grotesk-caps | black poster-wall of risograph run-club posters in a strict 3-col rhythm; "CURRENTLY CREATING:" ticker along the bottom edge | kinetic-type | ORIGINAL
coreframework.com | y | dark | quiet | standard SaaS nav + blue pill CTA, body lazy | none-visible | template
corentinbernadou.com | n | dark | - | preloader stuck at 0-64% | - | -
coronel.design | y | dark | grotesk-caps | nav words at display scale — "(Lab)" and "Shop" cropped by the bottom edge of a black void | kinetic-type | solid
cosmos.so | y | light | quiet | search-bar-first discovery app on warm-gray gradient; grid lazy | none-visible | solid
cosmos.studio | y | light | grotesk-caps | condensed slab logotype fills the full viewport width; glitch-decayed showreel type below; "Contact Anna" avatar chip in nav | canvas | solid
counter-forms.com | y | light | mono | foundry name's letters orbit like a clock face with a thin red hand; ultra-sparse | kinetic-type | solid
cp-agency.eu | y | dark | mixed | grotesk claim pivots to swash italic mid-sentence; glossy black 3D cubes; 250+ stat card | 3d | solid
craftcms.com | y | light | giant-serif | centered display-serif claim over icon quartet; bookish serif on SaaS bones | none-visible | solid
creme.com | y | dark | quiet | holding page: blob-lettered logo, centered pause message + subscribe | none-visible | template
cssstudio.ai | y | dark | mono | hatched diagonal-stripe buttons like engineering tape; left-locked hero over embedded browser-chrome demo; INR price on the CTA | none-visible | solid
cursor.com | n | - | - | navigation timed out repeatedly | - | -
cyphr.studio | y | light | grotesk-caps | hero photo sliced into a descending comb of vertical strips over cream; condensed caps claim spans the full bottom edge | canvas | ORIGINAL
daighrick.com | y | light | quiet | shallow macro-flora photo band across top, letterspaced serif name centered, ivory void below | none-visible | solid
damngoodbrands.com | n | dark | - | never painted past black | - | -
danilodemarco.com | y | color | quiet | flat sky-blue full-bleed field with a single tiny centered line | none-visible | solid
danilosierra.com | n | dark | - | never painted; retry timed out | - | -
davidanthonychenault.com | y | dark | grotesk-caps | colossal 3-line name over glitch-scanned self-portrait with red cross overlay, mirrored UV botanicals, registration x-marks; "DECLARE MUTINY ON THE MONOTONOUS" | grain | ORIGINAL
davidwhyte.com/experience | y | dark | quiet | hand-signature logotype centered on black with a thin progress rule — theatrical entry | kinetic-type | solid
deeo.studio | y | dark | mixed | charcoal; giant gray display-serif claim rising from the fold; butter-yellow chip inline in the caps nav | none-visible | solid
definedvc.com | y | dark | quiet | full-bleed bioluminescent ink-in-water macro film; black text panel overlapping bottom-right — VC as nature documentary | 3d | solid
den.cool | n | light | - | blank gray on both passes | - | -
departuremono.com | n | dark | - | flat charcoal on both passes | - | -
des.obys.agency | n | light | mono | counter "00" only (loader) | - | -
designbomb.it | y | dark | grotesk-caps | festival poster: italic ultra-black DESIGN BOMB!!! at viewport scale, sticker-stack date badge, googly-eyes mascot, hot-pink TICKET pill | kinetic-type | ORIGINAL
designengineer.io | y | light | mixed | job board drawn as a technical schematic: dimension arrows, hatching, dashed circles annotating listings; serif names + mono chips | none-visible | solid
designmill.in | y | light | mixed | strict 50/50 split: pistachio studio photo with retro red-telephone props right, cream panel with roman-to-italic serif swap left | none-visible | solid
developments.media | n | light | - | blank white on both passes | - | -
dimension.dev | y | color | quiet | dawn-sky gradient, iOS app icons with badge counts as product metaphor, floating dock-pill nav at bottom | none-visible | solid
dionpieters.dev | y | color | grotesk-caps | alarm-orange field; mint condensed caps name squeezed edge-to-edge over a giant black line-art smiley | kinetic-type | ORIGINAL
dokument.studio | y | light | mixed | hiatus notice as design: founder avatar chips top, giant cropped ".dok" logotype bleeding off bottom-left, mono IMPRINT | none-visible | solid
dorstenlesser.com | y | color | mixed | cobalt field, white grotesk claim, candy-colored pill nav buttons scattered top-right | none-visible | solid
dottxt.ai | y | light | mono | terminal-zine: bitmap pixel display type "NO BAD OUTPUTS", numbered mono eyebrows, dithered noise panel, retro window chrome around a CLI demo | none-visible | ORIGINAL
doubleplay.studio | y | dark | giant-serif | full-bleed atelier film under display-serif "Game-changing Websites" with play chip | none-visible | solid
dougl.co | y | dark | quiet | domain squatted by casino spam | none-visible | template
doze.studio | n | dark | - | never painted past black | - | -
drams.framer.website | y | light | grotesk-caps | Framer component store: flat orange hero block, Product Hunt sticker | none-visible | template
drone.riotters.com | n | light | - | loader counter only | - | -
droplette.app | y | dark | quiet | centered claim over faint baseline grid with corner dots; embedded Figma-plugin panel | none-visible | template
drxlr.com | y | dark | grotesk-caps | logotype set so large only "Dre" fits the viewport, cropped mid-glyph; pink micro-label; footnote "A few skilled humans doing the work of many.TM" | kinetic-type | ORIGINAL
dsgn-dept.com | y | light | giant-serif | putty ground, olive display-serif claim centered, art books floating in a loose constellation | none-visible | solid
duftundkultur.com | y | dark | giant-serif | perfume shop opening as an editorial cover: hazy river film, wide-tracked display serif "WO DIE HITZE ENDET." | none-visible | solid
dversostudio.io | y | dark | mixed | preloader as mood: torch-glow gradient sweeping black, pixel-bitmap LOADING in the corner | canvas | solid
eduardbodak.com | y | light | grotesk-caps | colossal condensed caps with hard CSS reflection under the baseline; crosshair/registration marks like a press sheet; mono price chip | kinetic-type | ORIGINAL
elapse.ai | n | light | - | blank gray | - | -
electronicmaterialsoffice.com | y | dark | mixed | product film noir: keyboard emerging from black, roman serif "Altar II / Mechanical miracle.", glowing red Reserve pill with strikethrough price | 3d | ORIGINAL
eleken.co | y | light | quiet | canonical SaaS agency template: centered claim, two buttons, Clutch stars, logo wall, cookie banner | none-visible | template
eleveight.supply | y | dark | quiet | Framer asset store: rounded nav bar, lime Premium pill, centered claim | none-visible | template
elisabreyerarchive.com | y | light | quiet | painter's archive where the sort controls (chronological/size/random) are the hero; hot-pink glow on the active chip | none-visible | solid
endlesstools.io | y | dark | quiet | black stage, pill CTAs, floating testimonial toast; 3D editor canvas lazy | 3d | solid
eng.dipsy.team | n | light | - | blank gray | - | -
erichu.info | y | color | quiet | full-bleed sage-green solid field; everything behind interaction | canvas | solid
erinfeeproductions.com | y | color | mixed | the whole viewport is the logotype: brick-red field, giant white rounded-grid EFP monogram cropped top-left | none-visible | ORIGINAL
