domain|loads|ground|type-voice|signature-move|motion-guess|verdict
locomotive.ca|n|light|quiet|cloudflare bot-wall, site unreachable headless|none-visible|n/a
lonalih.com|y|color|giant-serif|serif gig-list set inside a hand-drawn cobalt blob vessel on lilac|canvas|solid
lucasporterbakker.com|y|dark|mono|design-tool selection box with live w:673 dimension label as the entire hero|canvas|solid
lukejamestaylor.com|y|light|giant-serif|banner + serif editorial portfolio, numbered sections|none-visible|template
madebyanalogue.co.uk|n|light|quiet|cloudflare bot-wall|none-visible|n/a
madebyarticle.com|y|dark|mixed|colossal pale-blue grotesk wordmark cropped by the frame, serif counterpoint + live clock|kinetic-type|ORIGINAL
madebynull.com|y|light|quiet|renders blank headless (JS/WebGL gated)|3d|n/a
madeinuxstudio.com|y|light|quiet|renders blank headless|none-visible|n/a
mainframe.app|y|light|quiet|renders blank headless|none-visible|n/a
maisonauge.com|y|color|quiet|pale-pink void, content never paints headless|none-visible|n/a
makingsoftware.com|y|light|mono|web page as printed reference manual: pixel display font, FIG_001 margin labels, blueprint-blue isometric diagrams|grain|ORIGINAL
marckuiper.com|y|dark|grotesk-caps|lens-flare photo hero, giant grotesk, twin pill CTAs|none-visible|solid
markclennon.com|y|dark|quiet|black stage, ligatured fashion-serif wordmark, video content dark|none-visible|solid
matvoyce.tv|y|light|quiet|renders blank headless|kinetic-type|n/a
mb.studio|y|light|quiet|renders blank headless|none-visible|n/a
media.work|y|light|grotesk-caps|white void with letterspaced caps nav, WebGL center missing headless|canvas|n/a
menuxl.fr|y|light|quiet|loader never resolves headless, centered wordmark only|none-visible|n/a
merodev.net|y|dark|quiet|black void, never paints|none-visible|n/a
metalab.com|y|light|quiet|renders blank headless, reload aborted|none-visible|n/a
microdot.vision|y|dark|grotesk-caps|near-black, dot-matrix mark, RENDERING IMAGINATION strapline, video feed missing|3d|solid
midday.ai|y|light|giant-serif|editorial display serif for a SaaS ("The business stack for modern founders") over mono UI chrome|none-visible|solid
middlename.co.uk|y|light|grotesk-caps|cobalt wordmark set bigger than the viewport, cropped mid-letter, work carousel below|kinetic-type|solid
mikkisindhunata.com|y|dark|quiet|renders blank headless|canvas|n/a
mindmarket.com|y|light|quiet|lime 3D-tube scribble monogram on bone white|3d|solid
minhpham.design|y|dark|quiet|site opens as a game: cat mark + single START pill on black|kinetic-type|solid
minwookshin.com|y|light|quiet|entire portfolio is a plain nested bullet list, zero decoration|none-visible|solid
mmxxartists.com|y|light|grotesk-caps|heavy black caps nav on gray, lazy images never load headless|none-visible|solid
modal.com|y|dark|grotesk-caps|dark dev-infra genre: neon green accent, logo wall, pill nav|canvas|template
modul.es|y|dark|mono|black terminal frame, dashed rules, mono caps nav|canvas|solid
mohitsingh.cloud|y|dark|quiet|renders blank headless|none-visible|n/a
monkeytalkie.com|y|light|mixed|rounded logotype + serif caps nav on greige, video stage empty|none-visible|solid
mont-fort.com|y|light|grotesk-caps|five-brand corporate nav, News badge|none-visible|template
moresleep.net|y|dark|grotesk-caps|giant flared grotesk wordmark centered on black|kinetic-type|solid
morningstar.ventures|y|dark|grotesk-caps|grainy shattered-sphere 3D, side progress rail, scroll dial|3d|solid
morrow.nl|y|light|quiet|domain retired, plain redirect notice|none-visible|template
moth3r.com|n|dark|quiet|timed out twice|none-visible|n/a
motion.page|y|dark|quiet|renders blank headless|canvas|n/a
movestudio.site|y|dark|mixed|grotesk "Move" top-left answered by giant serif "Folio" bottom-right over b/w mountain film, hairline meta row|kinetic-type|ORIGINAL
mubien.com|y|light|quiet|renders blank headless|canvas|n/a
muda.co|y|light|mono|pixel-bitmap wordmark + one kinetic blue ball on white, exhibition credits as the only copy|kinetic-type|ORIGINAL
multiversx.com|y|dark|grotesk-caps|dark crypto genre: 3D ribbons, teal stat cards, AI badge|3d|template
myshaky.com|y|color|grotesk-caps|coral ground, dark rounded cards, birthday-input gimmick|none-visible|template
naelmessaoudene.com|y|dark|grotesk-caps|film-grain black, curved WebGL image planes, availability beacon|3d|solid
nav.supply|y|dark|giant-serif|voluptuous inverse serif "navs" filling the viewport above a pattern-shop index|none-visible|ORIGINAL
nexis.network|y|dark|mono|mono caps numbered nav tabs, dot-matrix AI monolith, chain ticker grid|3d|solid
nikitalabutin.com|n|dark|quiet|readymag payment-down page|none-visible|n/a
nite-riot.com|y|dark|grotesk-caps|black stage, gray logo loader only|none-visible|n/a
nkay.design|n|light|quiet|DNS dead|none-visible|n/a
non-linear.studio|y|light|quiet|flat gray void, never paints|canvas|n/a
noomoagency.com|y|color|quiet|pixel-morphing wordmark loader on powder blue, main site never paints headless|kinetic-type|n/a
noon.ai|y|dark|quiet|luminous yellow ribbon-wave WebGL rising from black|3d|solid
nuageboi.fr|y|color|quiet|full-viewport chroma-green flat (loader or gag), timed out on retry|canvas|n/a
nvg8.io|n|light|quiet|SSL 525 error page|none-visible|n/a
nvmbr.in|y|light|quiet|renders blank headless|none-visible|n/a
o-p-e-n.com|y|color|mono|extreme macro blur (amber lips) as the whole ground, letterspaced mono "Op e n"|canvas|ORIGINAL
oda.services|y|light|quiet|white void, dot-logo flashes then nothing|none-visible|n/a
oddcommon.com|y|light|grotesk-caps|centered mark, spaced serif caps footer, video stage empty|none-visible|solid
offsuit.app|y|dark|quiet|rounded geometric sans "Casual poker, redesigned." + butter-yellow pill on near-black|none-visible|solid
olhalazarieva.com|y|light|quiet|renders blank headless|none-visible|n/a
oliverdupuy.com|y|color|quiet|full-bleed dusk-lit interior, tiny letterspaced serif caps split top/bottom of frame|none-visible|ORIGINAL
oliverjeffers.com|y|color|mixed|giant hand-painted yellow brush lettering smeared across a studio film still|kinetic-type|ORIGINAL
onmi.io|y|dark|quiet|midnight gradient + lone orb, story never paints headless|3d|n/a
opalcamera.com|y|dark|quiet|black stage, wordmark corner, video-led content missing|none-visible|solid
orage.studio|n|light|quiet|security wall blocks request|none-visible|n/a
orion.tube|y|dark|mixed|CRT test-bar glow + condensed editorial serif + glitch-face iPad, mono UI captions|3d|ORIGINAL
oryzo.ai|y|color|quiet|brand drawn live in a fake vector editor: dashed circle, orange bezier handles on sage green|canvas|ORIGINAL
oscarpico.es|y|light|grotesk-caps|two tiny caps labels at the exact midline of an empty bone field|canvas|solid
osmo.supply|y|light|quiet|renders blank headless|none-visible|n/a
ossa.wine|y|dark|grotesk-caps|OSSA letters scattered down a b/w Tasmanian crag like falling scree, single red accent|kinetic-type|ORIGINAL
otherkind.design|y|light|mono|mono caps underlined footer nav, canvas stage empty headless|canvas|n/a
otherlife.xyz|y|light|giant-serif|serif wordmark + 2/100 counter preloader, site never advances headless|kinetic-type|n/a
ottografie.nl|y|dark|quiet|black void, never paints|canvas|n/a
oval.earth|n|light|quiet|timed out twice|none-visible|n/a
overpass.com|y|light|grotesk-caps|giant grotesk claim + primary-colored geometric avatar shapes|none-visible|solid
owltastic.com|y|color|quiet|tan page-frame border, espresso/cream panels, warm personal Helvetica|none-visible|solid
oxiinstruments.com|n|light|quiet|cloudflare human-check wall|none-visible|n/a
ozone.pro|n|light|quiet|Framer site-not-found|none-visible|n/a
pacolui.com|y|dark|grotesk-caps|blueprint dot-grid with crosshairs, live telemetry (city, $Time), "Designing at Chrome"|canvas|solid
pacomepertant.com|y|dark|quiet|black void, never paints|canvas|n/a
para.co|y|dark|grotesk-caps|dark creator-SaaS genre: faint grid, acid-green pill|none-visible|template
patrickmason.studio|y|light|quiet|projects presented as tactile neumorphic app-dock circles ("Add Project")|kinetic-type|solid
paullapkin.design|n|light|quiet|DNS dead|none-visible|n/a
pawelachtelik.com|y|light|quiet|renders blank headless|none-visible|n/a
ped.ro|y|dark|quiet|whole bio pre-blurred except hoverable pill tokens (PEDRO, RAYCAST) — reading as interaction|none-visible|ORIGINAL
pedenmunk.com|y|color|grotesk-caps|flat teal, staggered orange caps PEDEN/MUNK interlocked with hard-shadow product photo|kinetic-type|ORIGINAL
petertarka.com|n|light|quiet|SSL cert expired|none-visible|n/a
petragarmon.com|y|light|quiet|renders blank headless|none-visible|n/a
phantom.land|y|dark|grotesk-caps|single centered caps strapline + oversized Accept/Decline cookie type|3d|solid
photoyoshi.com|y|light|quiet|renders blank headless|none-visible|n/a
pinnacledesignlab.com|n|light|quiet|DNS dead|none-visible|n/a
pixelwrld.co|y|light|quiet|handwriting headline + personal app-launcher icon row ("my corner on the internet")|none-visible|solid
playlist.studio|y|dark|mono|terminal ledger: [SELECTED WORKS] table, dual-timezone clock NY/WA|none-visible|solid
polecat.agency|y|color|grotesk-caps|flat cyan, plotter-joint display caps (visible nodes in letterforms), 0% preloader as design|kinetic-type|ORIGINAL
