domain|loads|ground|type-voice|signature-move|motion-guess|verdict
ponpon-mania.com|y|light|quiet|mascot-character loader on cream; site gated behind canvas intro|canvas|solid
portalone.studio|y|dark|grotesk-caps|full-bleed hairline grid boxes every element incl. QR in nav; retro-space line tunnel|kinetic-type|solid
portorocha.com|y|light|quiet|blank in headless (WebGL gate); unresolvable|canvas|solid
posterco.tv|y|dark|quiet|blank in headless (video/WebGL gate); unresolvable|canvas|solid
pp-fragment.com|y|dark|giant-serif|the typeface is the site: fragmented serif/sans wordmark overlapping while 3D glass letters float|3d|ORIGINAL
prateeksingh.in|y|light|quiet|audience-switcher hero (For Designers / Recruiters / AI Pundits / Engineers) on blush grain gradient|grain|solid
pratibhajoshi.com|y|light|quiet|standard designer-portfolio hero + pastel case cards|none-visible|template
procreate.com/dreams|y|dark|quiet|device-frame video of vivid collage art; Apple-cadence copy|3d|solid
pryzm.design|y|dark|mixed|gallery of generated grain/gradient texture cards w/ mono labels|canvas|solid
radiance.family|y|light|grotesk-caps|gold 3D halo floating over cropped baseline-bleed wordmark; live clock + city|3d|solid
raggededge.com|y|color|grotesk-caps|extended-caps wordmark banded inside a pastel motion-blur vortex|canvas|solid
railway.com|y|dark|mixed|hand-illustrated starry night-sky world wrapping the product dashboard; serif display over sans UI|canvas|solid
raycast.com|y|dark|quiet|red grain diagonal light beams on black; product-first|grain|solid
rayraylab.com|y|light|mono|CRT-glitch smeared mega wordmark + REC timestamp frame; services ticker band|kinetic-type|ORIGINAL
rectangles.fm|y|dark|grotesk-caps|vintage paper newsletter card w/ blueprint diagram centered on ink-dark ground|none-visible|solid
redchurch.london|y|color|mixed|liquid-chrome hand-drawn letters floating in real sky footage; ENTER gate|3d|ORIGINAL
reedhilderbrand.com|y|light|quiet|sharp elliptical lens over blurred aerial film + live weather caption (Sep 2025 74F Calm)|canvas|ORIGINAL
reflektor.digital|y|dark|grotesk-caps|blank in headless (WebGL gate); unresolvable|canvas|solid
reformcollective.com|y|light|mixed|serif parenthetical masthead over grotesk mega wordmark on 3D upholstery collage|3d|solid
rekki.com|y|dark|quiet|giant plain-spoken grotesk claim + animated status chips over dim office film|kinetic-type|solid
remotejobs.com|y|light|quiet|standard job-board list + blue CTAs|none-visible|template
remyshoots.co.za|y|dark|mono|cinema-slate sound gate (ENTER WITH SOUND) + red tick ruler and 100% counter|kinetic-type|solid
renco.de|y|dark|quiet|light grotesk hero + exploded EV hardware render|3d|solid
resend.com|y|dark|giant-serif|serif display over black 3D rubik cube; dev-tool polish|3d|solid
retool.com|y|dark|quiet|prompt-box-as-hero over blurred app collage|none-visible|solid
rhythminfluence.com|y|dark|grotesk-caps|script glyph swapped inside grotesk mega-caps (WE ARE MATCHMAKERS); photo card stack center|kinetic-type|solid
richardprescott.com|y|light|quiet|persistent 000 counter loader in headless; unresolvable|canvas|solid
richbrown.info|y|light|grotesk-caps|split R/B monogram pinned to corners + word-pattern wallpaper block over industrial film|kinetic-type|solid
rig.ai|y|color|grotesk-caps|scanline-grain orange-red poster; chunky black caps; privacy-paranoia copy turn to black|grain|ORIGINAL
robertaungaro.com|y|light|giant-serif|numbered red Times index (0-5) over raw editorial photo diptych|none-visible|solid
robertborghesi.is|y|dark|quiet|blank in headless (WebGL gate); unresolvable|canvas|solid
robhemus.co.uk|y|light|mixed|pixel-shredded classical statue + angled award ticker tapes (blue/yellow) + contact marquee|kinetic-type|ORIGINAL
robin-noguier.com|y|color|mixed|serif accent word (Fun) on slate blue; curved photo plane; case-study-first|3d|solid
rodeo.film|y|dark|grotesk-caps|loader stuck at 12% in headless; red accent mono|canvas|solid
